venue,target_bin,chase_win
Arun Jaitley Stadium,<140,0.5882352941176471
Arun Jaitley Stadium,140-159,0.75
Arun Jaitley Stadium,160-179,0.6
Arun Jaitley Stadium,180-199,0.42857142857142855
Arun Jaitley Stadium,200-219,0.4444444444444444
Arun Jaitley Stadium,>220,0.0
Barabati Stadium,<140,1.0
Barabati Stadium,140-159,0.5
Barabati Stadium,160-179,0.0
Barabati Stadium,180-199,0.0
Barabati Stadium,200-219,
Barabati Stadium,>220,0.0
"Barsapara Cricket Stadium, Guwahati",<140,
"Barsapara Cricket Stadium, Guwahati",140-159,1.0
"Barsapara Cricket Stadium, Guwahati",160-179,
"Barsapara Cricket Stadium, Guwahati",180-199,0.0
"Barsapara Cricket Stadium, Guwahati",200-219,
"Barsapara Cricket Stadium, Guwahati",>220,
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",<140,0.25
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",140-159,1.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",160-179,0.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",180-199,0.3333333333333333
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",200-219,
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",>220,0.0
Brabourne Stadium,<140,1.0
Brabourne Stadium,140-159,0.6666666666666666
Brabourne Stadium,160-179,0.4
Brabourne Stadium,180-199,0.2
Brabourne Stadium,200-219,0.2857142857142857
Brabourne Stadium,>220,
Buffalo Park,<140,0.0
Buffalo Park,140-159,1.0
Buffalo Park,160-179,0.0
Buffalo Park,180-199,
Buffalo Park,200-219,
Buffalo Park,>220,
De Beers Diamond Oval,<140,0.0
De Beers Diamond Oval,140-159,
De Beers Diamond Oval,160-179,0.5
De Beers Diamond Oval,180-199,
De Beers Diamond Oval,200-219,
De Beers Diamond Oval,>220,
Dr DY Patil Sports Academy,<140,0.5
Dr DY Patil Sports Academy,140-159,0.7142857142857143
Dr DY Patil Sports Academy,160-179,0.5
Dr DY Patil Sports Academy,180-199,0.4
Dr DY Patil Sports Academy,200-219,0.25
Dr DY Patil Sports Academy,>220,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,<140,0.8
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,140-159,1.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,160-179,0.6
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,180-199,1.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,200-219,0.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,>220,
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",<140,
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",140-159,
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",160-179,
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",180-199,0.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",200-219,
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",>220,0.0
Dubai International Cricket Stadium,<140,0.6666666666666666
Dubai International Cricket Stadium,140-159,0.625
Dubai International Cricket Stadium,160-179,0.5789473684210527
Dubai International Cricket Stadium,180-199,0.0
Dubai International Cricket Stadium,200-219,0.0
Dubai International Cricket Stadium,>220,
Eden Gardens,<140,0.2857142857142857
Eden Gardens,140-159,0.625
Eden Gardens,160-179,0.4827586206896552
Eden Gardens,180-199,0.5714285714285714
Eden Gardens,200-219,0.0
Eden Gardens,>220,0.3333333333333333
Green Park,<140,0.0
Green Park,140-159,1.0
Green Park,160-179,0.0
Green Park,180-199,1.0
Green Park,200-219,
Green Park,>220,
Himachal Pradesh Cricket Association Stadium,<140,0.0
Himachal Pradesh Cricket Association Stadium,140-159,1.0
Himachal Pradesh Cricket Association Stadium,160-179,0.3333333333333333
Himachal Pradesh Cricket Association Stadium,180-199,0.6666666666666666
Himachal Pradesh Cricket Association Stadium,200-219,
Himachal Pradesh Cricket Association Stadium,>220,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",<140,
"Himachal Pradesh Cricket Association Stadium, Dharamsala",140-159,
"Himachal Pradesh Cricket Association Stadium, Dharamsala",160-179,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",180-199,1.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",200-219,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",>220,0.0
Holkar Cricket Stadium,<140,0.5
Holkar Cricket Stadium,140-159,0.5
Holkar Cricket Stadium,160-179,0.6666666666666666
Holkar Cricket Stadium,180-199,1.0
Holkar Cricket Stadium,200-219,
Holkar Cricket Stadium,>220,0.0
JSCA International Stadium Complex,<140,0.3333333333333333
JSCA International Stadium Complex,140-159,0.0
JSCA International Stadium Complex,160-179,1.0
JSCA International Stadium Complex,180-199,1.0
JSCA International Stadium Complex,200-219,
JSCA International Stadium Complex,>220,
Kingsmead,<140,0.0
Kingsmead,140-159,0.5
Kingsmead,160-179,0.75
Kingsmead,180-199,1.0
Kingsmead,200-219,1.0
Kingsmead,>220,
M Chinnaswamy Stadium,<140,0.4375
M Chinnaswamy Stadium,140-159,0.5555555555555556
M Chinnaswamy Stadium,160-179,0.6875
M Chinnaswamy Stadium,180-199,0.44
M Chinnaswamy Stadium,200-219,0.4166666666666667
M Chinnaswamy Stadium,>220,0.14285714285714285
MA Chidambaram Stadium,<140,0.8333333333333334
MA Chidambaram Stadium,140-159,0.32
MA Chidambaram Stadium,160-179,0.23529411764705882
MA Chidambaram Stadium,180-199,0.16666666666666666
MA Chidambaram Stadium,200-219,0.2727272727272727
MA Chidambaram Stadium,>220,0.5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",<140,
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",140-159,1.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",160-179,1.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",180-199,0.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",200-219,
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",>220,
Maharashtra Cricket Association Stadium,<140,0.6666666666666666
Maharashtra Cricket Association Stadium,140-159,0.8
Maharashtra Cricket Association Stadium,160-179,0.5714285714285714
Maharashtra Cricket Association Stadium,180-199,0.75
Maharashtra Cricket Association Stadium,200-219,0.3333333333333333
Maharashtra Cricket Association Stadium,>220,
"Maharashtra Cricket Association Stadium, Pune",<140,
"Maharashtra Cricket Association Stadium, Pune",140-159,0.25
"Maharashtra Cricket Association Stadium, Pune",160-179,0.3333333333333333
"Maharashtra Cricket Association Stadium, Pune",180-199,0.0
"Maharashtra Cricket Association Stadium, Pune",200-219,0.0
"Maharashtra Cricket Association Stadium, Pune",>220,
Narendra Modi Stadium,<140,0.8333333333333334
Narendra Modi Stadium,140-159,0.6666666666666666
Narendra Modi Stadium,160-179,0.46153846153846156
Narendra Modi Stadium,180-199,0.75
Narendra Modi Stadium,200-219,0.5
Narendra Modi Stadium,>220,0.0
Nehru Stadium,<140,0.5
Nehru Stadium,140-159,0.5
Nehru Stadium,160-179,1.0
Nehru Stadium,180-199,
Nehru Stadium,200-219,
Nehru Stadium,>220,
New Wanderers Stadium,<140,0.3333333333333333
New Wanderers Stadium,140-159,0.25
New Wanderers Stadium,160-179,0.0
New Wanderers Stadium,180-199,
New Wanderers Stadium,200-219,
New Wanderers Stadium,>220,
Newlands,<140,0.0
Newlands,140-159,1.0
Newlands,160-179,1.0
Newlands,180-199,1.0
Newlands,200-219,
Newlands,>220,
OUTsurance Oval,<140,1.0
OUTsurance Oval,140-159,0.0
OUTsurance Oval,160-179,
OUTsurance Oval,180-199,
OUTsurance Oval,200-219,
OUTsurance Oval,>220,
Punjab Cricket Association IS Bindra Stadium,<140,0.5555555555555556
Punjab Cricket Association IS Bindra Stadium,140-159,0.5454545454545454
Punjab Cricket Association IS Bindra Stadium,160-179,0.6470588235294118
Punjab Cricket Association IS Bindra Stadium,180-199,0.375
Punjab Cricket Association IS Bindra Stadium,200-219,1.0
Punjab Cricket Association IS Bindra Stadium,>220,0.5
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",<140,
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",140-159,1.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",160-179,0.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",180-199,0.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",200-219,1.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",>220,0.0
"Rajiv Gandhi International Stadium, Uppal",<140,0.3181818181818182
"Rajiv Gandhi International Stadium, Uppal",140-159,0.5555555555555556
"Rajiv Gandhi International Stadium, Uppal",160-179,0.8571428571428571
"Rajiv Gandhi International Stadium, Uppal",180-199,0.4
"Rajiv Gandhi International Stadium, Uppal",200-219,0.4
"Rajiv Gandhi International Stadium, Uppal",>220,0.3333333333333333
Saurashtra Cricket Association Stadium,<140,1.0
Saurashtra Cricket Association Stadium,140-159,1.0
Saurashtra Cricket Association Stadium,160-179,0.0
Saurashtra Cricket Association Stadium,180-199,1.0
Saurashtra Cricket Association Stadium,200-219,1.0
Saurashtra Cricket Association Stadium,>220,
Sawai Mansingh Stadium,<140,0.4444444444444444
Sawai Mansingh Stadium,140-159,0.35
Sawai Mansingh Stadium,160-179,0.42857142857142855
Sawai Mansingh Stadium,180-199,0.4166666666666667
Sawai Mansingh Stadium,200-219,0.5
Sawai Mansingh Stadium,>220,
Shaheed Veer Narayan Singh International Stadium,<140,0.3333333333333333
Shaheed Veer Narayan Singh International Stadium,140-159,0.0
Shaheed Veer Narayan Singh International Stadium,160-179,0.5
Shaheed Veer Narayan Singh International Stadium,180-199,
Shaheed Veer Narayan Singh International Stadium,200-219,
Shaheed Veer Narayan Singh International Stadium,>220,
Sharjah Cricket Stadium,<140,0.8
Sharjah Cricket Stadium,140-159,1.0
Sharjah Cricket Stadium,160-179,0.5
Sharjah Cricket Stadium,180-199,0.25
Sharjah Cricket Stadium,200-219,0.0
Sharjah Cricket Stadium,>220,0.5
Sheikh Zayed Stadium,<140,0.8333333333333334
Sheikh Zayed Stadium,140-159,1.0
Sheikh Zayed Stadium,160-179,0.4444444444444444
Sheikh Zayed Stadium,180-199,0.2857142857142857
Sheikh Zayed Stadium,200-219,1.0
Sheikh Zayed Stadium,>220,
St George's Park,<140,
St George's Park,140-159,0.6
St George's Park,160-179,1.0
St George's Park,180-199,1.0
St George's Park,200-219,
St George's Park,>220,
Subrata Roy Sahara Stadium,<140,1.0
Subrata Roy Sahara Stadium,140-159,0.5
Subrata Roy Sahara Stadium,160-179,0.6666666666666666
Subrata Roy Sahara Stadium,180-199,1.0
Subrata Roy Sahara Stadium,200-219,
Subrata Roy Sahara Stadium,>220,
SuperSport Park,<140,1.0
SuperSport Park,140-159,0.75
SuperSport Park,160-179,0.0
SuperSport Park,180-199,0.5
SuperSport Park,200-219,
SuperSport Park,>220,
"Vidarbha Cricket Association Stadium, Jamtha",<140,0.0
"Vidarbha Cricket Association Stadium, Jamtha",140-159,0.5
"Vidarbha Cricket Association Stadium, Jamtha",160-179,
"Vidarbha Cricket Association Stadium, Jamtha",180-199,
"Vidarbha Cricket Association Stadium, Jamtha",200-219,
"Vidarbha Cricket Association Stadium, Jamtha",>220,
Wankhede Stadium,<140,0.7142857142857143
Wankhede Stadium,140-159,0.6111111111111112
Wankhede Stadium,160-179,0.3939393939393939
Wankhede Stadium,180-199,0.5161290322580645
Wankhede Stadium,200-219,0.1111111111111111
Wankhede Stadium,>220,0.5
"Zayed Cricket Stadium, Abu Dhabi",<140,1.0
"Zayed Cricket Stadium, Abu Dhabi",140-159,0.3333333333333333
"Zayed Cricket Stadium, Abu Dhabi",160-179,1.0
"Zayed Cricket Stadium, Abu Dhabi",180-199,1.0
"Zayed Cricket Stadium, Abu Dhabi",200-219,
"Zayed Cricket Stadium, Abu Dhabi",>220,0.0
